,,
Categoría,Nombre,Marcas
TRANSPORTE,,
,"TRANSPORTE BÁSICO, CARGA Y DESCARGA",
,"TRANSPORTE KM. 0,40/KM. (mas 20 euros)",
OTROS,,
,COMPLEMENTOS INSTALACIÓN (a valorar por dificultades extras),
,"(*) DIFICULTAD DEL SITIO, EXCESIVO CABLEADO, ….",
ORDENARDORES PORTÁTILES,,
,,
,,
,,
,,
ALTAVOCES ACTIVOS /CAJAS ACUSTICAS),,
,,
,,
,"HK AUDIO PREMIUM PR:O 12A,  600W",
,"HK AUDIO PREMIUM PR:O 12A,  600W",
,,
,,
ALTAVOCES PASIVOS/(CAJAS ACUSTICAS),,
,"HK AUDIO PREMIUM PR:O 10-X, MONITOR  300W",
,"HK AUDIO PREMIUM PR:O 10-X, MONITOR  300W",
,"HK AUDIO PREMIUM PR:O 10-X, MONITOR  300W",
,"HK AUDIO PREMIUM PR:O 10-X, MONITOR  300W",
,"HK AUDIO PREMIUM PR:O 10-X, MONITOR  300W",
,"HK AUDIO PREMIUM PR:O 10-X, MONITOR  300W",
,"HK AUDIO PREMIUM PR:O 10-X, MONITOR  300W",
,"HK AUDIO PREMIUM PR:O 10-X, MONITOR  300W",
,"HK AUDIO PREMIUM PR:O 12, SPEAKER 400W",
,"HK AUDIO PREMIUM PR:O 12, SPEAKER 400W",
,"HK AUDIO PREMIUM PR:O 18-S, SUBWOOFER 500W",
,"HK AUDIO PREMIUM PR:O 18-S, SUBWOOFER 500W",
AMPLIFICADORES,,
,"AMPLIFICADOR, MC2-ETAPA-T-1000, 500W., DOS CANALES",
,"AMPLIFICADOR, MC2-ETAPA-T-1000, 500W., DOS CANALES",
,"AMPLIFICADOR, MC2-T-2000, 1.000W., DOS CANALES",
MESA DE MEZCLAS,,
,"MESA MEZCLA, SOUNDCRAFT-EPM-6,  6 CANALES",
,"MESA MEZCLA, MACKIE-ONYX-1640,   16 CANALES",
,MIDAS M32R LIVE,
,MIDAS MD-16,
,,
,,
ESCALADOR DE VIDEO,,
,"ESCALADOR DE VIDEO, KRAMER-VP-731, 9 ENTRADAS.",
DVD,,
,"DVD GRABADOR DUAL Y HDD DE 80 GB, LG-RH7500, GRABADOR, DISCO DURO DE 80GB.",
MICROFONOS-CAJA 7 UDS,,
,AUDIX- MICROFONO DINAMICO-FUSION SERIES-F2,Audix
,AUDIX- MICROFONO DINAMICO-FUSION SERIES-F2,
,AUDIX- MICROFONO DINAMICO-FUSION SERIES-F2,
,AUDIX- MICROFONO DINAMICO-FUSION SERIES-F6,
,AUDIX- MICROFONO DINAMICO-FUSION SERIES-F5,
,AUDIX- MICROFONO CONDENSADOR-FUSION SERIES-F9,
,AUDIX- MICROFONO CONDENSADOR-FUSION SERIES-F9,
MICCROFONOS,,"Ewman, Senheiser, Audix"
,"AUDIX- MICROFONO DINAMICO-FUSION SERIES-OM5, INALAMBRICO DE MANO",
,"AUDIX- MICROFONO DINAMICO-FUSION SERIES-OM5, INALAMBRICO DE MANO",
,"AUDIX- MICROFONO DINAMICO-FUSION SERIES-OM5, INALAMBRICO DE MANO",
,"AUDIX- MICROFONO DINAMICO-FUSION SERIES-OM2, INALAMBRICO DE MANO",
,"ADX12-MICROFONO DE MESA, CON BASE K&M Y PINZA AUDIX-D-CLIP",
,"ADX12-MICROFONO DE MESA, CON BASE K&M Y PINZA AUDIX-D-CLIP",
,"ADX212-MICROFONO DE MESA, CON BASE K&M Y PINZA AUDIX-D-CLIP",
,"ADX212-MICROFONO DE MESA, CON BASE K&M Y PINZA AUDIX-D-CLIP",
,"AUDIX-RAD-360, SET, MICROFONO-INALAMBRICO-CORBATA (RECEPTOR-8791959, PETACA-8871009, MICRO CORBATA, 2 ANTENAS)",
,"AUDIX-RAD-360, SET, MICROFONO-INALAMBRICO-CORBATA (RECEPTOR-8771663, PETACA-8871034, MICRO CORBATA, 2 ANTENAS)",
,"AUDIX-RAD-360, SET, MICROFONO-INALAMBRICO-DE MANO (RECEPTOR-87520422,  MICROFONO-OM3--8991509, 2 ANTENAS)",
,"AUDIX-RAD-360, SET, MICROFONO-INALAMBRICO-DE MANO (RECEPTOR-8771992,  MICROFONO-OM3-8971273, 2 ANTENAS)",
,AUDIX-RAD-360-PETACA,
,AUDIX-RAD-ADX10-MICROFONO DE CORBATA,
,"AUDIX-HT5, MICROFONO DIADEMA",
,SENNHEISER MKE 600,
,NEUMANN MCM 114 SET HIGH STRINGS,
AURICULARES,,
,"AURICULAR, SENNHEISER-H205",
PROYECTORES,,
,"PROYECTOR, VIVITEK-D5 SERIES, 3000 LUMENS",
,"PROYECTOR, VIVITEK-D5 SERIES, 3000 LUMENS",
,"PROYECTOR, CHRISTIE LX505. 5000 LUMENS.",
PANTALLAS,,
,"PANTALLA-DA-LITE 2,30X3,00, SOPORTE CON DOS TELAS, PROYECCION FRONTAL Y RETROPROYECCION",
,"PANTALLA-TRAULUX, 2,00X1,55, CON SOPORTE.",
,"PANTALLA-TRAULUX, 2,00X1,55, CON SOPORTE.",
,"PANTALLA-PROJECTA, 1,50X2,00, CON SOPORTE",
LUMINARIA,,
,"EUROLITE-LED-KLS-200, BARRA  4 PROYECTORES LED Y PEDAL",
,"EUROLITE-LED-KLS-200, BARRA  4 PROYECTORES LED Y PEDAL",
,,
,,
,,
,,
,ELEMENT H6 PACK,ADJ
,ENCORE FRI50Z,ADJ
ESTABILIZADOR DE CORRIENTE,,
,ESTABILIZADOR DE CORRIENTE,
CUADROS ELECTRICOS PORTATILES,,
,"CUADRO ELECTRICO, 2000W, TRANSFORMADOR 380/220.",
ACCESORIOS,,
,TRIPODE ALTAVOZ,
,TRIPODE ALTAVOZ,
,TRIPODE ALTAVOZ,
,TRIPODE ALTAVOZ,
,TRIPODE ALTAVOZ,
,TRIPODE ALTAVOZ,
,"TRIPODE MICRO, PIE DE MICRO REGULABLE",
,"TRIPODE MICRO, PIE DE MICRO REGULABLE",
,"TRIPODE MICRO, PIE DE MICRO REGULABLE",
,"TRIPODE MICRO, PIE DE MICRO REGULABLE",
,"TRIPODE MICRO, PIE DE MICRO REGULABLE",
,"TRIPODE MICRO, PIE DE MICRO REGULABLE",
,"TRIPODE MICRO, PIE DE MICRO REGULABLE",
,"TRIPODE MICRO, PIE DE MICRO REGULABLE",
,"TRIPODE MICRO, PIE DE MICRO REGULABLE",
,TRIPODE FOCO.,
,TRIPODE FOCO.,
,"TRIPODE CAMARA, MANFROTTO",
