Fecha,Clics,Impresiones,CTR,Posición
2026-05-05,4,366,1.09%,17.6
2026-05-06,4,314,1.27%,12.5
2026-05-07,3,311,0.96%,16.3
2026-05-08,5,328,1.52%,16
2026-05-09,1,417,0.24%,12.1
2026-05-10,4,260,1.54%,12.2
2026-05-11,1,275,0.36%,13.9
2026-05-12,7,346,2.02%,13.7
2026-05-13,7,287,2.44%,14.6
2026-05-14,6,288,2.08%,15.8
2026-05-15,4,247,1.62%,20.3
2026-05-16,2,499,0.4%,29.1
2026-05-17,3,191,1.57%,19.4
2026-05-18,4,272,1.47%,24.7
2026-05-19,7,233,3%,25.5
2026-05-20,4,218,1.83%,21.7
2026-05-21,4,195,2.05%,18.3
2026-05-22,3,303,0.99%,22.7
2026-05-23,5,276,1.81%,17.9
2026-05-24,3,188,1.6%,23.6
2026-05-25,0,193,0%,21.4
2026-05-26,1,127,0.79%,23.9
2026-05-27,6,185,3.24%,18.8
2026-05-28,2,169,1.18%,19.6
2026-05-29,2,174,1.15%,26.5
2026-05-30,5,209,2.39%,17.4
2026-05-31,3,135,2.22%,29.7
2026-06-01,5,176,2.84%,26.5
2026-06-02,7,160,4.38%,40.3
2026-06-03,7,170,4.12%,20.5
2026-06-04,0,114,0%,22.7
2026-06-05,3,157,1.91%,24.2
2026-06-06,5,209,2.39%,24.1
2026-06-07,4,139,2.88%,29
2026-06-08,2,122,1.64%,33.1
2026-06-09,5,149,3.36%,37.8
2026-06-10,11,127,8.66%,25.1
2026-06-11,3,119,2.52%,29.6
2026-06-12,2,108,1.85%,30.2
2026-06-13,3,199,1.51%,23.1
2026-06-14,5,122,4.1%,28.9
2026-06-15,3,294,1.02%,40.2
2026-06-16,4,142,2.82%,38.5
2026-06-17,5,113,4.42%,27.6
2026-06-18,4,107,3.74%,27.6
2026-06-19,0,132,0%,32.4
2026-06-20,3,207,1.45%,25.2
2026-06-21,2,96,2.08%,27.4
2026-06-22,0,121,0%,32.9
2026-06-23,2,145,1.38%,37
2026-06-24,4,110,3.64%,32.4
2026-06-25,2,108,1.85%,25.8
2026-06-26,0,149,0%,33.2
2026-06-27,0,168,0%,28.6
2026-06-28,3,145,2.07%,33.1
2026-06-29,5,138,3.62%,30.6
2026-06-30,1,168,0.6%,34.4
2026-07-01,2,130,1.54%,34.4
2026-07-02,1,123,0.81%,24.7
2026-07-03,3,111,2.7%,29.9
2026-07-04,1,187,0.53%,23.9
2026-07-05,2,141,1.42%,28.7
2026-07-06,0,115,0%,33.6
2026-07-07,3,203,1.48%,31.9
2026-07-08,1,130,0.77%,34.5
2026-07-09,1,89,1.12%,28.1
2026-07-10,1,130,0.77%,32.3
2026-07-11,0,182,0%,23.5
2026-07-12,1,123,0.81%,29.6
2026-07-13,2,147,1.36%,25.3
2026-07-14,4,114,3.51%,34.1
2026-07-15,7,291,2.41%,36.3
2026-07-16,5,108,4.63%,25.2
2026-07-17,3,107,2.8%,26.7
2026-07-18,0,157,0%,25.3
2026-07-19,4,112,3.57%,26.3
2026-07-20,9,108,8.33%,25.1
2026-07-21,8,174,4.6%,32.2
2026-07-22,4,96,4.17%,27.9
2026-07-23,0,84,0%,26.1
2026-07-24,0,91,0%,31.8
2026-07-25,0,144,0%,21.5
2026-07-26,2,130,1.54%,28.4
2026-07-27,4,121,3.31%,29.9
2026-07-28,1,140,0.71%,38.6
2026-07-29,3,111,2.7%,31.3
2026-07-30,0,102,0%,25.7
2026-07-31,3,108,2.78%,19.2
2026-08-01,3,191,1.57%,18.4
2026-08-02,0,78,0%,20.6
2026-08-03,4,109,3.67%,21.3
2026-08-04,0,134,0%,29.9
