País,Clics,Impresiones,CTR,Posición
Reino Unido,49,1711,2.86%,37.23
España,47,6466,0.73%,26.38
Países Bajos,34,301,11.3%,7.18
Alemania,26,295,8.81%,11.96
Irlanda,17,361,4.71%,38.2
Italia,15,83,18.07%,6.14
Noruega,9,61,14.75%,5.15
Francia,8,158,5.06%,11.82
Polonia,8,64,12.5%,7.22
Estados Unidos,6,3326,0.18%,27.66
Suecia,5,44,11.36%,6.23
Canadá,4,193,2.07%,21.34
Arabia Saudí,4,70,5.71%,16.71
Bélgica,4,41,9.76%,7.02
Dinamarca,4,17,23.53%,5.24
Rumanía,4,14,28.57%,4.57
Australia,3,82,3.66%,14.88
Israel,3,38,7.89%,12
Hungría,3,12,25%,6.08
Marruecos,2,90,2.22%,14.46
Suiza,2,26,7.69%,14.27
Portugal,2,21,9.52%,5.05
Austria,2,17,11.76%,11.94
Nueva Zelanda,2,13,15.38%,18.46
Lituania,2,10,20%,5.8
La India,1,119,0.84%,21.17
México,1,111,0.9%,16.14
Iraq,1,107,0.93%,14.9
Filipinas,1,66,1.52%,18.08
Ucrania,1,42,2.38%,11.48
Finlandia,1,41,2.44%,15.05
Argelia,1,35,2.86%,14.4
Jordania,1,24,4.17%,14.04
Egipto,1,18,5.56%,13.94
Letonia,1,18,5.56%,30.56
Grecia,1,12,8.33%,10.42
Islandia,1,7,14.29%,4.43
Albania,1,7,14.29%,10.86
Gibraltar,1,6,16.67%,2.33
Croacia,1,6,16.67%,6.67
Chipre,1,5,20%,5
Taiwán,1,5,20%,8.2
Vietnam,0,358,0%,14.32
Brasil,0,161,0%,13.56
Argentina,0,129,0%,16.5
Colombia,0,73,0%,14.18
Pakistán,0,71,0%,14.32
Indonesia,0,71,0%,17.31
Bangladés,0,59,0%,18.44
Chile,0,55,0%,16.53
Japón,0,51,0%,11.31
Turquía,0,51,0%,15.04
Venezuela,0,45,0%,16.76
Rusia,0,45,0%,17.2
Emiratos Árabes Unidos,0,44,0%,13.64
Uruguay,0,39,0%,13.23
Sudáfrica,0,33,0%,16.64
Malasia,0,29,0%,29.76
Ecuador,0,27,0%,16.3
Tailandia,0,26,0%,20.23
Paraguay,0,25,0%,17.04
Singapur,0,22,0%,12.73
Kazajistán,0,22,0%,13.41
Bolivia,0,21,0%,10.24
Kenia,0,19,0%,10.95
Túnez,0,19,0%,19.21
Costa Rica,0,18,0%,15.56
Azerbaiyán,0,17,0%,14.53
Perú,0,17,0%,19.41
China,0,16,0%,9.44
Uzbekistán,0,16,0%,15
Omán,0,15,0%,10.53
Etiopía,0,14,0%,13.64
Nepal,0,14,0%,17.93
Corea del Sur,0,13,0%,6.92
Palestina,0,13,0%,9.54
Líbano,0,13,0%,10.15
Serbia,0,10,0%,9.5
Panamá,0,10,0%,15.1
República Dominicana,0,9,0%,8.44
Hong Kong,0,8,0%,9.75
Nigeria,0,8,0%,10.62
Georgia,0,8,0%,17.12
El Salvador,0,7,0%,12
Honduras,0,7,0%,13
Trinidad y Tobago,0,7,0%,16.14
Chequia,0,6,0%,6.67
Angola,0,6,0%,7.33
Kuwait,0,6,0%,16.67
Armenia,0,6,0%,21.17
Senegal,0,6,0%,21.67
Estonia,0,5,0%,5.8
Sri Lanka,0,5,0%,7.6
Libia,0,5,0%,9
Costa de Marfil,0,5,0%,9.8
Bosnia y Herzegovina,0,5,0%,10.8
Myanmar (Birmania),0,5,0%,12.6
Macedonia del Norte,0,5,0%,15
Andorra,0,5,0%,60.6
Bulgaria,0,4,0%,8.25
Bahréin,0,4,0%,12
Kirguistán,0,4,0%,12.25
Nicaragua,0,4,0%,12.5
Bielorrusia,0,4,0%,15
Camboya,0,4,0%,16.75
Bahamas,0,3,0%,1
Luxemburgo,0,3,0%,6.67
Congo,0,3,0%,7
Tanzania,0,3,0%,7.67
Ghana,0,3,0%,9.33
Malí,0,3,0%,9.33
Botsuana,0,3,0%,9.67
Guatemala,0,3,0%,11.33
Qatar,0,3,0%,16.67
Jamaica,0,3,0%,17.67
Moldavia,0,3,0%,25.33
Siria,0,3,0%,25.67
Puerto Rico,0,2,0%,3
Mongolia,0,2,0%,4.5
Eslovenia,0,2,0%,7
Maldivas,0,2,0%,7.5
Malta,0,2,0%,8
Irán,0,2,0%,10
Uganda,0,2,0%,10
Surinam,0,2,0%,13.5
Brunéi,0,2,0%,17.5
Yibuti,0,2,0%,22.5
Gabón,0,2,0%,23.5
Eslovaquia,0,1,0%,3
Curazao,0,1,0%,6
Barbados,0,1,0%,7
Guyana,0,1,0%,9
Martinica,0,1,0%,9
Montenegro,0,1,0%,11
Togo,0,1,0%,16
Somalia,0,1,0%,22
Laos,0,1,0%,23
Tayikistán,0,1,0%,32
Jersey,0,1,0%,47
